BSHD,2012/08/28 18:50:25,0001,0116.0003,15840  
Pilot Sector Name,SID,NID,Extend BID,T-PN,Antenna Lati,Antenna Longi,Antenna Alti,Antenna Loc Accu,Sector Center Lati,Sector Center Longi,Sector Center Alti,Antenna Orientation,Antenna Opening,Max Antenna Range,Terrain Average Height,Terrain Height Standard Deviation,Potential Repeater,PN Increment,FWD Calib,FWD Calib Accu,RTD Calib,RTD Calib Accu,FormatType,SwitchNum
NJC13-0-160-houzaimen_BBU_9_C,14174,10,18546896,42,32.045833,118.810278,28,300,32.049884,118.810278,4,0,120,1500,7,5,0,1,15.00,39,1.00,524,1,-1
NJC13-1-160-houzaimen_BBU_9_C,14174,10,10485969,210,32.045833,118.810278,28,300,32.043808,118.814416,4,120,120,1500,5,4,0,1,15.00,39,1.00,524,1,-1
NJC13-1-160-houzaimen_BBU_9_C,14174,10,13172945,210,32.045833,118.810278,28,300,32.043808,118.814416,4,120,120,1500,5,4,0,1,15.00,39,1.00,524,1,-1
NJC13-1-160-houzaimen_BBU_9_C,14174,10,15859921,210,32.045833,118.810278,28,300,32.043808,118.814416,4,120,120,1500,5,4,0,1,15.00,39,1.00,524,1,-1
NJC13-1-160-houzaimen_BBU_9_C,14174,10,18546897,210,32.045833,118.810278,28,300,32.043808,118.814416,4,120,120,1500,5,4,0,1,15.00,39,1.00,524,1,-1
NJC13-2-160-houzaimen_BBU_9_C,14174,10,10485970,378,32.045833,118.810278,28,300,32.043808,118.806140,4,240,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-2-160-houzaimen_BBU_9_C,14174,10,13172946,378,32.045833,118.810278,28,300,32.043808,118.806140,4,240,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-2-160-houzaimen_BBU_9_C,14174,10,15859922,378,32.045833,118.810278,28,300,32.043808,118.806140,4,240,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-2-160-houzaimen_BBU_9_C,14174,10,18546898,378,32.045833,118.810278,28,300,32.043808,118.806140,4,240,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-3-160-houzaimen_BBU_9_C,14174,10,10485971,498,32.042222,118.804722,14,300,32.040197,118.808860,3,120,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-3-160-houzaimen_BBU_9_C,14174,10,13172947,498,32.042222,118.804722,14,300,32.040197,118.808860,3,120,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-3-160-houzaimen_BBU_9_C,14174,10,15859923,498,32.042222,118.804722,14,300,32.040197,118.808860,3,120,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
NJC13-3-160-houzaimen_BBU_9_C,14174,10,18546899,498,32.042222,118.804722,14,300,32.040197,118.808860,3,120,120,1500,4,1,0,1,15.00,39,1.00,524,1,-1
